trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.001, 'e': 0.9323938199059483}",20,0,-119.79707064955291,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
72,False,"{'a': 0.001, 'e': 0.9314618921275921}",25,0,-117.74136541132073,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
73,False,"{'a': 0.001, 'e': 0.9305308958112057}",25,0,-258.94035059482866,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 6}",0
74,False,"{'a': 0.001, 'e': 0.9296008300257927}",30,0,-97.56356315666943,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
75,False,"{'a': 0.001, 'e': 0.9286716938412872}",25,0,-48.736517785161666,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
76,False,"{'a': 0.001, 'e': 0.9277434863285529}",25,0,-202.382228669825,"{0: 10, 1: 6, 2: 4, 3: 3, 4: 2}",0
77,False,"{'a': 0.001, 'e': 0.9268162065593822}",35,0,-242.43703893084944,"{0: 18, 1: 7, 2: 5, 3: 1, 4: 4}",0
78,False,"{'a': 0.001, 'e': 0.9258898536064953}",20,0,-61.08298435262614,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
79,False,"{'a': 0.001, 'e': 0.9249644265435393}",25,0,-96.07349644439954,"{0: 16, 1: 1, 2: 5, 3: 3, 4: 0}",0
80,False,"{'a': 0.001, 'e': 0.9240399244450868}",25,0,-108.90804877634153,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
81,False,"{'a': 0.001, 'e': 0.9231163463866358}",25,0,-100.59589881385678,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
82,False,"{'a': 0.001, 'e': 0.922193691444608}",25,10,-50.96045407635205,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 0}",1
83,False,"{'a': 0.001, 'e': 0.9212719586963487}",20,0,-157.76207053256798,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
84,False,"{'a': 0.001, 'e': 0.9203511472201247}",20,0,-84.87061430521727,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
85,False,"{'a': 0.001, 'e': 0.9194312560951247}",20,0,-73.51463028456652,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
86,False,"{'a': 0.001, 'e': 0.9185122844014574}",25,0,-69.24415282562974,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
87,False,"{'a': 0.001, 'e': 0.9175942312201509}",25,0,-79.12665248040852,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
88,False,"{'a': 0.001, 'e': 0.9166770956331523}",25,0,-181.28645832650207,"{0: 11, 1: 3, 2: 6, 3: 4, 4: 1}",1
89,False,"{'a': 0.001, 'e': 0.9157608767233256}",25,0,-180.88869058802382,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
90,False,"{'a': 0.001, 'e': 0.914845573574452}",20,0,-78.54296864371038,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
91,False,"{'a': 0.001, 'e': 0.9139311852712282}",25,0,-173.88235584943342,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
92,False,"{'a': 0.001, 'e': 0.9130177108992658}",25,6,-83.72866496558527,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 0}",1
93,False,"{'a': 0.001, 'e': 0.9121051495450904}",30,15,-32.30425877778801,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.001, 'e': 0.9111935002961405}",20,0,-88.94005587122837,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.001, 'e': 0.910282762240767}",25,0,-177.68681758000793,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
96,False,"{'a': 0.001, 'e': 0.9093729344682314}",20,6,-113.89583752515045,"{0: 6, 1: 2, 2: 3, 3: 2, 4: 1}",1
97,False,"{'a': 0.001, 'e': 0.9084640160687062}",25,0,-111.02506566697012,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
98,False,"{'a': 0.001, 'e': 0.9075560061332727}",20,0,-58.04706716469427,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
99,False,"{'a': 0.001, 'e': 0.9066489037539209}",20,0,-13.454584517405282,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
100,False,"{'a': 0.001, 'e': 0.9057427080235485}",25,0,-59.65636247052959,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
101,False,"{'a': 0.001, 'e': 0.9048374180359595}",25,0,-127.04239650985103,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
102,False,"{'a': 0.001, 'e': 0.9039330328858641}",30,0,-98.38904351051771,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
103,False,"{'a': 0.001, 'e': 0.9030295516688768}",20,6,-81.09648678968948,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
104,False,"{'a': 0.001, 'e': 0.9021269734815165}",20,0,-101.30690892642866,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
105,False,"{'a': 0.001, 'e': 0.9012252974212047}",25,0,-73.0306524031715,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
106,False,"{'a': 0.001, 'e': 0.9003245225862656}",20,0,-119.66579147861248,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
107,False,"{'a': 0.001, 'e': 0.899424648075924}",20,0,-74.30734462358267,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
108,False,"{'a': 0.001, 'e': 0.8985256729903055}",20,0,-64.15172903244282,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
109,False,"{'a': 0.001, 'e': 0.8976275964304349}",20,0,-120.07855451873318,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
110,False,"{'a': 0.001, 'e': 0.8967304174982355}",25,0,-57.83198510282162,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
111,False,"{'a': 0.001, 'e': 0.8958341352965282}",20,0,-74.44859194030734,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
112,False,"{'a': 0.001, 'e': 0.894938748929031}",30,0,-127.32087175871153,"{0: 16, 1: 6, 2: 6, 3: 1, 4: 1}",0
113,False,"{'a': 0.001, 'e': 0.8940442575003572}",25,0,-67.16588073057879,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
114,False,"{'a': 0.001, 'e': 0.8931506601160155}",25,3,-161.75548607423596,"{0: 9, 1: 7, 2: 2, 3: 2, 4: 2}",1
115,False,"{'a': 0.001, 'e': 0.8922579558824083}",20,0,-24.316495725563392,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
116,False,"{'a': 0.001, 'e': 0.8913661439068313}",20,0,-77.06074584555218,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
117,False,"{'a': 0.001, 'e': 0.8904752232974726}",20,0,-93.94469762713733,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
118,False,"{'a': 0.001, 'e': 0.8895851931634113}",20,0,-160.51706318412374,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
119,False,"{'a': 0.001, 'e': 0.8886960526146174}",20,0,-168.04853588119948,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
